Kode,Emiten,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
AALI,Astra Agro Lestari Tbk.,1997,1924688333,Utama
ABBA,Mahaka Media Tbk.,2002,3935892857,Pemantauan Khusus
ABDA,Asuransi Bina Dana Arta Tbk.,1989,620806680,Pemantauan Khusus
ABMM,ABM Investama Tbk.,2011,2753165000,Utama
ACES,Ace Hardware Indonesia Tbk.,2007,17150000000,Utama
ACRO,Samcro Hyosung Adilestari Tbk.,2024,3469138591,Pengembangan
ACST,Acset Indonusa Tbk.,2013,12675160000,Utama
ADCP,Adhi Commuter Properti Tbk.,2021,22222222200,Utama
ADES,Akasha Wira International Tbk.,1994,589896800,Pemantauan Khusus
ADHI,Adhi Karya (Persero) Tbk.,2004,8407608979,Utama
ADMF,Adira Dinamika Multi Finance T,2004,1000000000,Utama
ADMG,Polychem Indonesia Tbk,1993,3889179559,Utama
ADMR,Adaro Minerals Indonesia Tbk.,2022,40882331500,Utama
ADRO,Adaro Energy Indonesia Tbk.,2008,31985962000,Utama
AEGS,Anugerah Spareparts Sejahtera ,2023,1006002744,Akselerasi
AGAR,Asia Sejahtera Mina Tbk.,2019,1000000000,Pemantauan Khusus
AGII,Samator Indo Gas Tbk.,2016,3066660000,Utama
AGRO,Bank Raya Indonesia Tbk.,2003,24493093216,Utama
AGRS,Bank IBK Indonesia Tbk.,2014,37365877065,Pemantauan Khusus
AHAP,Asuransi Harta Aman Pratama Tb,1990,4900000000,Pengembangan
AIMS,Akbar Indo Makmur Stimec Tbk,2001,220000000,Pemantauan Khusus
AISA,FKS Food Sejahtera Tbk.,1997,9311800000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,2004,6449463636,Pemantauan Khusus
AKPI,Argha Karya Prima Industry Tbk,1992,612248000,Pengembangan
AKRA,AKR Corporindo Tbk.,1994,20073474600,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,2001,720000000,Pengembangan
ALDO,Alkindo Naratama Tbk.,2011,1350356872,Pengembangan
ALII,Ancara Logistics Indonesia Tbk,2024,15825800000,Utama
ALKA,Alakasa Industrindo Tbk,1990,507665055,Pengembangan
ALMI,Alumindo Light Metal Industry ,1997,3816000000,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk.,2012,2191870558,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk.,2005,5001552516,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,2020,3873500000,Pengembangan
AMAR,Bank Amar Indonesia Tbk.,2020,18197283760,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,1995,434000000,Utama
AMIN,Ateliers Mecaniques D Indonesi,2015,1080000000,Pengembangan
AMMN,Amman Mineral Internasional Tb,2023,72518217656,Utama
AMMS,Agung Menjangan Mas Tbk.,2022,1200051427,Akselerasi
AMOR,Ashmore Asset Management Indon,2020,2222222400,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,2009,41524501700,Utama
ANDI,Andira Agro Tbk.,2018,9350000000,Pemantauan Khusus
ANJT,Austindo Nusantara Jaya Tbk.,2013,3354175000,Utama
ANTM,Aneka Tambang Tbk.,1997,24030764725,Utama
APEX,Apexindo Pratama Duta Tbk.,2013,2933628566,Utama
APIC,Pacific Strategic Financial Tb,2002,11766313488,Pengembangan
APII,Arita Prima Indonesia Tbk.,2013,1075760000,Pengembangan
APLI,Asiaplast Industries Tbk.,2000,1362671400,Utama
APLN,Agung Podomoro Land Tbk.,2010,22699326779,Utama
