Kode,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus
MTRA,Mitra Pemuda Tbk.,Infrastructures,2016,770000000.0,Pemantauan Khusus,0,0,1,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
KBRI,Kertas Basuki Rachmat Indonesi,Basic Materials,2008,8687995734.0,Pemantauan Khusus,0,0,0,0,0,0,0,1,0,1,1,3,Tidak,Ya,Tidak,Tidak,Tidak,Ya
URBN,Urban Jakarta Propertindo Tbk.,Properties & Real Estate,2018,3232122640.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
NIRO,City Retail Developments Tbk.,Properties & Real Estate,2012,22198871804.0,Pengembangan,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
IKAI,Intikeramik Alamasri Industri ,Industrials,1997,13305799387.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
DEAL,Dewata Freightinternational Tb,Transportation & Logistic,2018,1146170959.0,Pemantauan Khusus,0,0,0,1,0,0,0,1,1,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
KAEF,Kimia Farma Tbk.,Healthcare,2001,5566529785.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
BATA,Sepatu Bata Tbk.,Consumer Cyclicals,1982,1300000000.0,Utama,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak
ENVY,Envy Technologies Indonesia Tb,Technology,2019,1800000000.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
ABBA,Mahaka Media Tbk.,Consumer Cyclicals,2002,3935892857.0,Pemantauan Khusus,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya
SKBM,Sekar Bumi Tbk.,Consumer Non-Cyclicals,2012,1730103217.0,Pemantauan Khusus,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya
OCAP,Onix Capital Tbk.,Financials,2003,273200000.0,Pemantauan Khusus,0,0,1,1,0,0,0,0,0,1,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya
