Kode,Tertinggi,Terendah,Penutupan,Volume,Nilai,Foreign_Sell,Foreign_Buy,A,B,D,E,F,I,K,L,M,S,X,Total_Notasi,Keuangan,Administrasi,Hukum,Sanksi,Struktur_Saham,Pemantauan_Khusus,Emiten,Sektor,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
ABBA,53,51,51,3987900,207066600,404900,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Mahaka Media Tbk.,Consumer Cyclicals,2002,3935892857.0,Pemantauan Khusus
ADES,10800,10500,10675,31900,341697500,9900,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Akasha Wira International Tbk.,Consumer Non-Cyclicals,1994,589896800.0,Pemantauan Khusus
AGII,1530,1505,1515,177200,269462500,400,168000,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Samator Indo Gas Tbk.,Basic Materials,2016,3066660000.0,Utama
AGRS,78,76,76,5171600,402101100,0,487800,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bank IBK Indonesia Tbk.,Financials,2014,37365877065.0,Pemantauan Khusus
AIMS,845,815,830,5601300,4636636000,254100,37800,0,0,0,0,0,0,0,0,0,1,1,2,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Akbar Indo Makmur Stimec Tbk,Energy,2001,220000000.0,Pemantauan Khusus
ALMI,140,129,130,44300,5975200,18600,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Alumindo Light Metal Industry ,Basic Materials,1997,3816000000.0,Pemantauan Khusus
ARKA,50,50,50,7000,350000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Arkha Jayanti Persada Tbk.,Industrials,2019,2000000000.0,Pemantauan Khusus
ARTA,2700,2700,2700,23600,63720000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Arthavest Tbk,Consumer Cyclicals,2002,446674175.0,Pemantauan Khusus
ARTI,4,4,4,570000,2280000,0,0,0,0,1,1,0,0,0,1,0,0,1,4,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ratu Prabu Energi Tbk,Energy,2003,7840000000.0,Pemantauan Khusus
BATA,105,103,104,708100,73654200,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Sepatu Bata Tbk.,Consumer Cyclicals,1982,1300000000.0,Utama
BAUT,50,50,50,3400,170000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Mitra Angkasa Sejahtera Tbk.,Consumer Cyclicals,2022,4800135289.0,Pemantauan Khusus
BBKP,80,77,78,39375600,3088063900,580100,125400,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Bank KB Bukopin Tbk.,Financials,2006,185819884852.0,Utama
BCIC,113,107,113,453500,50085300,3700,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Bank JTrust Indonesia Tbk.,Financials,1997,17926071041.0,Pengembangan
BEKS,50,50,50,185400,9270000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bank Pembangunan Daerah Banten,Financials,2001,51351733883.0,Pemantauan Khusus
BELI,478,472,478,1946900,926704000,907700,0,0,0,0,0,0,1,0,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Global Digital Niaga Tbk.,Technology,2022,123210496616.0,Ekonomi Baru
BELL,72,69,70,860900,60640900,0,137400,0,0,0,0,1,0,0,0,0,0,0,1,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Trisula Textile Industries Tbk,Consumer Cyclicals,2017,7250000000.0,Pengembangan
BKSL,54,50,51,127625600,6600470800,1034800,25900,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Sentul City Tbk.,Properties & Real Estate,1997,167708902705.0,Pemantauan Khusus
BKSW,75,72,74,756400,55511600,34200,60800,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Bank QNB Indonesia Tbk.,Financials,2002,34953681505.0,Pemantauan Khusus
BOLT,785,770,775,137200,106330500,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Garuda Metalindo Tbk.,Consumer Cyclicals,2015,2343750000.0,Pengembangan
BPII,10350,10350,10350,300,3105000,300,300,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Batavia Prosperindo Internasio,Financials,2014,515498662.0,Pemantauan Khusus
BSBK,58,56,57,12886300,735908300,2046200,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Wulandari Bangun Laksana Tbk.,Properties & Real Estate,2022,25091882375.0,Pemantauan Khusus
BUKA,158,155,156,26656000,4172423900,16071800,3246500,0,0,0,0,0,1,0,0,0,0,0,1,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Bukalapak.com Tbk.,Technology,2021,103099967067.0,Ekonomi Baru
CBRE,50,50,50,21400,1070000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Cakra Buana Resources Energi T,Energy,2023,4538041373.0,Pemantauan Khusus
CENT,53,50,52,2303700,118902100,764300,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Centratama Telekomunikasi Indo,Infrastructures,2001,31183464900.0,Pemantauan Khusus
CINT,142,140,142,21700,3060200,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Chitose Internasional Tbk.,Consumer Cyclicals,2014,1000000000.0,Pengembangan
CMNP,1545,1525,1545,6000,9238500,3600,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Citra Marga Nusaphala Persada ,Infrastructures,1995,5436872008.0,Utama
CMPP,120,116,117,43100,5047500,0,0,0,0,0,1,0,0,0,1,0,0,1,3,Ya,Ya,Tidak,Tidak,Tidak,Ya,AirAsia Indonesia Tbk.,Transportation & Logistic,1994,10685124441.0,Pemantauan Khusus
COAL,50,50,50,809800,40490000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Black Diamond Resources Tbk.,Energy,2022,6250000000.0,Pengembangan
DADA,7,7,7,10065900,70461300,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Diamond Citra Propertindo Tbk.,Properties & Real Estate,2020,7431530800.0,Pemantauan Khusus
DIGI,15,14,15,413000,5866900,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Arkadia Digital Media Tbk.,Consumer Cyclicals,2018,1625000000.0,Pemantauan Khusus
DMND,800,785,800,62300,49237000,700,200,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals,2020,9468359000.0,Pemantauan Khusus
DPUM,24,24,24,552900,13269600,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,2015,4175000000.0,Pemantauan Khusus
ENZO,61,55,61,21408100,1264571600,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals,2020,2162547122.0,Pemantauan Khusus
